,precision,recall,f1-score,support
World,0.935846933033202,0.8752631578947369,0.9045417459885776,1900.0
Sports,0.932092555331992,0.9752631578947368,0.9531893004115226,1900.0
Business,0.8607792207792208,0.8721052631578947,0.8664052287581699,1900.0
Sci/Tech,0.8696335078534031,0.8742105263157894,0.8719160104986876,1900.0
accuracy,0.8992105263157895,0.8992105263157895,0.8992105263157895,0.8992105263157895
macro avg,0.8995880542494544,0.8992105263157893,0.8990130714142395,7600.0
weighted avg,0.8995880542494545,0.8992105263157895,0.8990130714142394,7600.0
