Эпоха,Train Loss,Train Accuracy,Train F1,Test Loss,Test Accuracy,Test F1
1,0.828064856950442,0.66445,0.6632325777655722,0.5526836853192634,0.7981578947368421,0.7972470068711744
2,0.5128636320710183,0.8118916666666667,0.8114285327382769,0.4393079493100904,0.8435526315789473,0.8437402016418591
3,0.41885674107869464,0.8501416666666667,0.8498228086550683,0.3865168899172494,0.8640789473684211,0.8634850293845205
4,0.36687591579755147,0.8712,0.8709417987430738,0.3617570426690729,0.873421052631579,0.8730134810119557
5,0.33170489021440347,0.8834666666666666,0.8832433481040982,0.3329694039430939,0.8852631578947369,0.8851152874552937
6,0.3072739608824253,0.893025,0.8928348900054928,0.32546169774121597,0.8897368421052632,0.8892017303195437
7,0.28443357743620873,0.9015,0.9013388573218895,0.31163360613609564,0.8935526315789474,0.8931435396955743
8,0.2705385316501061,0.905225,0.9050842994697864,0.30418699145504907,0.8992105263157895,0.8990130714142395
