,precision,recall,f1-score,support
World,0.9560381355932204,0.95,0.9530095036958818,1900.0
Sports,0.984251968503937,0.9868421052631579,0.985545335085414,1900.0
Business,0.9226666666666666,0.9105263157894737,0.9165562913907285,1900.0
Sci/Tech,0.9125258799171843,0.9278947368421052,0.9201461377870563,1900.0
accuracy,0.9438157894736842,0.9438157894736842,0.9438157894736842,0.9438157894736842
macro avg,0.943870662670252,0.9438157894736842,0.9438143169897701,7600.0
weighted avg,0.9438706626702521,0.9438157894736842,0.9438143169897701,7600.0
